text,true_label,predicted_label,confidence
position finance assistant au vic melbourne missing 2500030000 missing we have positions available for confident outgoing enthusiastic candidates to join our team of financial assistantrole and activitiesunderstand requirements of customers and their challenges in finance domain document the requirements discuss and finalise scope of work customise the finance software to suit the agreed scope of work personal attributes would include intermediate to advance pc skills in microsoft office products proven ability to develop and maintain effective working ability to manage internalexternal clientsuppliers expectations proven ability to prioritise meet deadlines and follow through tasks to completion professional manner excellent communication skills honesty and integrity able to work effectively both unsupervised and in a team environment ability to work under pressure and meet deadlines self motivated and outgoing personality benefits include base wage of 450 per week bonuses excellent training and ongoing coaching working days from monday to friday weekends saturday sundayworking time from 8 am to 12 am possible full timewith fulltime and flexible parttime positions available and full training provided you can pay your bills while making a huge difference to those who need it please send your cv parttime missing missing banking finance,1,0,0.65
maintenance specialist us tx arlington maint 2300028000 as the industrys largest supply contracting company novation serves the purchasing needs of more than 65000 vha uhc and provista member organizations and their affilliates novation delivers unmatched supply savings and value through its sourcing services as well as information and data services through its affiliation with vha uhc and provista novation represents the largest purchasing volume in the industry more than 40 billion in annual purchasesto help our alliance members meet the needs of their communities our mission is to deliver to them unmatched savings and value one of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results improve quality and reduce costs responsibilitiesresponsibilitiesresponsibilities shipping and receiving dock processing internal mail sorting and delivery special meeting setup and tear down will be required to work in multiple facilities when needed plan and organize work for team of associates will perform other tasks as needed motivate associates to improve performance by developing and implementing innovative recognition ideas coach train and develop associates manage service contracts and escalate concerns assist with writing and administering work reviews communicates progress of associates to supervisor and manager will perform other tasks as needed work with vendors on various initiatives and maintain an ongoing relationship when needed minimum qualifications effective computer skills word excel and outlook proven ability to work with all levels of management effective communication skills oral and written ability to work independently experience with demonstrated leadership abilities and direct reports ability to balance multiple responsibilities simultaneously good team building skills basic analytical and mathematical skills strong decision making skills proven ability to manage and develop timelines compensation and benefitsnovation offers a competitive salary a comprehensive selection of benefit options including 401kconditions of employmentall job offers are contingent upon succesful completion of credit and background checks fulltime entry level high school or equivalent mechanical or industrial engineering engineering,1,0,0.55
vemma brand partner us ca 91401 marketing missing missing looking for motivated and hard working individualsmust be at least 18learn entrepreneurial and reallife business skills through practicestudy success and follow successful peoplevemma is a health and nutrition company on the riseif you are looking for a great opportunity to consume very healthy products and get paid to promote them through your friend and family market contact joey space is limited motivated and willing to work with a team missing fulltime not applicable missing marketing and advertising marketing,1,0,0.8
subsea installation engineer us tx houston missing missing missing job description candidate should have a strong background and handson experience in one of the following disciplines offshore pipelines offshore structures subsea construction riser umbilical flowline engineering or naval architecturejob dutiesworks on projects involving pipelines platforms diving rov and othersworks under supervision of the project engineerassists project engineer in reviewing drawings project documents procedures and interprets technical specificationscreates installation procedures and other project documentsassists in performing hazids and constructability reviewsassists in determining the project technical and operational requirementsattends project meetings and interacts with client as required on a technical levelprepares material takeoffs and monitors receipt of project materials and equipmentcoordinates technical work of subcontractor companies related to the projectassist with coordinating engineering and drafting effortserforms general design calculations on project specific items eg padeyes stanchions etcsupport offshore project execution offshore as needed education erxperiencebachelors degree in mechanical civil naval architecture or ocean engineering masters degree preferred3 years in a similar position preferably with an installation contractor or engineering companygood oral and written communication skillsknowledge of offshore installation techniques and equipmentfamiliar with installation software tools offpipe orcaflex or autocadapplicant requirementsin order to apply for this position applicants must meet the following criteria if your resume does not match these criteria you will not be able to apply for this position missing fulltime missing missing oil energy engineering,1,0,0.52
production manager heavy duty diesel 2022 us tn morristown missing missing missing 2022job title production manager heavy duty dieselrole engineering or relatedrelocation available yesindustry manufacturinglocation tennesseetown city morristownjob type permanent fulltimejob descriptionthe production manager is responsible for a specified section or departments of the heavy duty piston operations business unit the specified section is typically comprised of six to ten production cost centers for machining surface treatment processes andor inspectionassembly processes the primary responsibilities of the diesel production manager1 production operations machining product surface treatment andor inspectionassembly processesthe manager of the specific departments of the business unit has responsibility for its performance this includes product quality operational efficiency staffing of salary and hourly positions production scheduling capacity utilization control of costs labor operating expenses and maintenancekey measures of success for the business unit are established in zero based budgeting process completed annually these key measures are reviewed and revised each year to reflect continuous improvement programs designed to reduce costkey measures of departmental performance include external and internal quality customer quality measures and product scrap cost of quality overall equipment effectiveness oee labor cost per unit cost center budget vs volume adjusted planned budget product inventory and capacity utilization2 in conjunction with the director of the business unit the managers is responsible for the development and execution of the intermediate and long term business and technical plans for their respective departmentsintermediate and long term business and technical plans include planning for new products and their processes to assure cost competitive high quality manufacturing and setting direction for all cost reductioncontinuous improvement projects this comprehensive planning encompasses all aspects of the departments including future manufacturing concepts quality innovation capital investments and capacity planningalso included is the completion and maintenance of the business planbudget for the departments the business plan is established over the longer term as a strategic business plan 5 year plan completed annually and then as a two year intermediate plan utilizing a zero based budgeting process again completed annually the immediate plan includes departmental staffing controllable expenses departmental maintenance cost projections capacity planning cost reduction planning and capital investment planning the department manager is responsible for resource allocation and detailed planning to execute the two year intermediate plan3 capital investment planning operations equipment source development and procurement as required for the managers respective departmentsthe managers has responsibility for hd diesel capital investments to meet the short and long term needs of their departments this includes planning vendor selection equipment specification development equipment design commercial negotiations price warranty etc in conjunction with purchasing equipment approval and installationprimarily investment is made for new and replacement production equipment machine tools quality inspection equipment and automation equipment 4 process development engineeringin conjunction with hdd engineering responsibility for development and implementation of machining surface treatment and quality processes for new products and new processes as determined in the long term planning for the departments outlined in 2 above the primary purpose of the engineering resource within the business unit is to assure the development of efficient low cost processes for the future more specifically all aspects of new process design development and implementation occurs within the business unit vs an outside supplier or process technology pt department5 manufacturingprocess engineeringin conjunction with hdd engineering process engineering primarily dedicated to the existing operations the focus of this engineering group is continuous improvementcost reduction product introduction prototype developmentproduction and process maintenance of the existing processes6 production support line set up and trainingresponsible for production support staff consisting of 515 machine line set up associatestechnicians and a group leader to facilitate efficient line set up activities with emphasis on reduction of line set up time these associates are also responsible for all aspects of on the job training of new and existing associates supervisory responsibilitiesmanages up to eight supervisors this departmental management group has direct supervisory responsibility for up to 100 to 220 salaried and hourly employees is responsible for the overall direction coordination and evaluation of the respective departments completes supervisory responsibilities in accordance with the organizations policies and applicable laws responsibilities include interviewing hiring and training employees planning assigning and directing work appraising performance rewarding and disciplining employees addressing complaints and resolving problemseducation and experiencebachelors degree bs in mechanical or industrial engineering from fouryear college or university or equivalent experience in manufacturing job experience for at least two years in an industrial environment preferably in close tolerance high quality machining processes comprehensive knowledge of operations management systems mechanical and industrial engineering principles quality systems piston manufacturing systems inspection processes and spcbottom line requirements1 bachelors degree in mechanical or industrial engineering2 2 years in an industrial environment involving close tolerance high quality machining processes 3 experience with operations management systems mechanical and industrial engineering principles and quality systems4 experience with piston manufacturing systems inspection processes and spc bottom line requirements1 bachelors degree in mechanical or industrial engineering2 2 years in an industrial environment involving close tolerance high quality machining processes 3 experience with operations management systems mechanical and industrial engineering principles and quality systems4 experience with piston manufacturing systems inspection processes and spc missing fulltime missing missing missing missing,1,0,0.94
sales manager in sales and marketing 5000060000 missing collaborates with insert title in establishing and recommending the most realistic sales goals for the company manages an assigned geographic sales area or product line to maximize sales revenues and meet corporate objectives establishes and manages effective programs to compensate coach appraise and train sales personnel performs sales activities on major accounts and negotiates sales price and discounts in consultation with insert title manages personnel and develops sales and sales support staff reviews progress of sales roles throughout the company accurately forecasts annual quarterly and monthly revenue streams develops specific plans to ensure revenue growth in all companys products provides quarterly results assessments of sales staffs productivity coordinates proper company resources to ensure efficient and stable sales results formulates all sales policies practices and procedures interprets short and longterm effects on sales strategies in operating profit educates sales team by establishing programsseminars in the areas of new account sales and growth sales of emerging products and multiproduct sales profitability improved presentation strategies competitive strategies proper use and level of sales support management of expenses and businessfinancial issues on contracts fulltime midsenior level unspecified accounting accountingauditing,1,0,0.91
fraud detection analyst us tx austin fraud dept 4000065000 as the industrys largest supply contracting company novation serves the purchasing needs of more than 65000 vha uhc and provista member organizations and their affilliates novation delivers unmatched supply savings and value through its sourcing services as well as information and data services through its affiliation with vha uhc and provista novation represents the largest purchasing volume in the industry more than 40 billion in annual purchasesto help our alliance members meet the needs of their communities our mission is to deliver to them unmatched savings and value one of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results improve quality and reduce costs position fraud detection analystcustomer facing fraud detection role key accountabilities 95 thoroughly review accountsapplications by handling inbound calls to determine their validity by using multiple systems and comparing them to accountapplication indicators review applications and place outbound calls to determine their validity by using multiple systems and comparing them to application indicators review accounts in specific worklists and place outbound calls to determine their validity by using multiple systems and comparing them to account indicators complete all assigned trainingscertifications within required corporate timeframes complete adherence to quality guidelines and ensuring professional communication at all times work assigned tasksprojects delegated by leadership to completion participation in citizenship and colleague initiative programs control objective 5understand the appropriate policies amp standards applicable to my role through reading the code of conduct and other training allocated to me where responsible for risks and controls ensure that these are appropriate and fit for purpose measures all mandatory training completed to deadline and understood within given timescales where applicable all key risks identified tracked logged and managed as per the risk framework procedures where applicable all key controls to have identified owners with audit trail of regular review and maintenance together with supporting records where applicable all risk events incidents or control failures to be escalated investigated reported and fixed at root cause to prevent reoccurren high attention to detail and thoroughness with work a must fraud knowledge a plus but not required analytical positive and professional attitude team player willingness to learn and receive constructive feedback03 years experience in callcenter environment a plus but not required name fulltime midsenior level high school or equivalent information services business analyst,1,0,0.69
clerical assistant us ny albany adminclerical 4000060000 missing the clerical assistant will be responsible for accurately and efficiently process data into company systems a high degree of accuracy and attention to detail we are looking for exceptional team players and leaders to join our team we are looking for candidates that thrive in a fastpace and demanding work environmentwe offer competitive compensation growth potential a fun amp casual work environment great benefit package who were looking for motivated detail oriented and thorough must have experience with data entry and customer service some college or equivalent experience is preferred someone who takes pride in their work with aspiration to contribute and thrive this is a fulltime salary position that offers benefits with great potential for growth fulltime not applicable high school or equivalent civil engineering administrative,1,0,0.72
job vacancy in stermins hotel london br hotel jobs 45005000 missing st ermins hotel2 caxton street westminster london sw1h 0qwunited kingdom44 70538 25547st ermins hotel urgently needs the services of devoted and hard working workers who are ready to work after undergoing enlistment training in all sectorsqualified persons should contact us immediatelyfor job placement here at the st ermins hotel as the hotelmanagement intends to increase its man power base due to increasing numberof customers in the hotelplease note the followingemployment type full timemonthly salary 395000 gbppreferred language of resumeapplication englishyears of work experience 1years minimumavailable positions conference amp banqueting operations manager demi chef de partie chef departies food amp beverage team members storekeepercontinentalintercontinental dishes cook amp chef account manageraccountant account auditor cashier banquetsales executive banquet salescoordinator casino fampb bar captain waiterwaitress bartenderhosthostess assistant manager of front office receptionist casino amp fampbfloor manager casino fampb bar supervisor casino fampb washerservice stylist person lobby assistant parttime guest relationsassistant first aid warder qualified nurses assistant floor housekeepercommis housekeeping services coordinator room attendant cleanersecurity personnelforeigninternational language translators and teachersreservations clerk reservation manager beauty therapistmasseurmassgist spa receptionist electrical engineer mechanical engineer marketingassistant marketing adviserbusiness analyst cafe attendant cafemanager computer operator internet service expertsalary indicationallowances amp benefits basic monthly salary 395000 gbp only travel insurancemedical insurance hazardinconveniences 27500 gbp monthly housing amp furnishings 285000 gbp yearlytwo months salary of 7900gbp inclusive of all allowances amp benefitsshall be paid in advance before employee relocates to new job location all payments of salary after assumption of duty in st ermins hotel shall be made in full to the salary account of the employergrants amp loans old scheme housing loan one 1 year service to st ermins hotel is required for eligibility starters amount will be 1500000 gbpcan be repaid within ten 10 years with 5 interest lieu car loan all employees are eligible to apply starters amountwill be 550000 gbp can be repaid within five 5 years trafford business loan all employees are eligible to applystarters amount will be 1000000 gbp to 3000000 gbp annuallyif you are interested in this opportunity provided by st ermins hotel you can contact us with cvresume on this very email addressfor job placementemail37be2ca7d0aa01ce1e8e75cb00ce72c028964ee42ea2eef6cf85dphone16f552c0f191e0f0fa4bd0497826b837d365d1140482c4124e1bf69ea6fc5226best regardsmr davidson raymondhr managerst ermins hotel conference amp banqueting operations manager demi chef de partie chef departies food amp beverage team members storekeepercontinentalintercontinental dishes cook amp chef account manageraccountant account auditor cashier banquetsales executive banquet salescoordinator casino fampb bar captain waiterwaitress bartenderhosthostess assistant manager of front office receptionist casino amp fampbfloor manager casino fampb bar supervisor casino fampb washerservice stylist person lobby assistant parttime guest relationsassistant first aid warder qualified nurses assistant floor housekeepercommis housekeeping services coordinator room attendant cleanersecurity personnelforeigninternational language translators and teachersreservations clerk reservation manager beauty therapistmasseurmassgist spa receptionist electrical engineer mechanical engineer marketingassistant marketing adviserbusiness analyst cafe attendant cafemanager computer operator internet service expert salary indicationallowances amp benefits basic monthly salary 395000 gbp only travel insurancemedical insurance hazardinconveniences 27500 gbp monthly housing amp furnishings 285000 gbp yearlytwo months salary of 7900gbp inclusive of all allowances amp benefitsshall be paid in advance before employee relocates to new job location all payments of salary after assumption of duty in st ermins hotel shall be made in full to the salary account of the employergrants amp loans old scheme housing loan one 1 year service to st ermins hotel is required for eligibility starters amount will be 1500000 gbpcan be repaid within ten 10 years with 5 interest lieu car loan all employees are eligible to apply starters amountwill be 550000 gbp can be repaid within five 5 years trafford business loan all employees are eligible to applystarters amount will be 1000000 gbp to 3000000 gbp annually fulltime entry level high school or equivalent hospitality general business,1,0,0.78
code compliance officer us ok oklahoma city missing missing the accion story began more than 100 years ago in the austintx with one family owned establishment today accion has grown into a nationwide organazation with over 260 stores accion success is attributed to our unique niche in the market offering current finance option at competitive prices paired with customer service and a personal shopping experience join the accion story today responsible for the enforcement of the building plumbing mechanical and electrical codes reviews plan and perform on site inspections of construction sites meets with contractors homeowners architects and engineers also responsible for the enforcement of zoning sign and miscellaneous ordinances 1 ensures minimum construction standards by performing inspections of construction sites including the plumbing mechanical and electrical installations 2 performs office duties by answering questions from contractors and citizens documenting completed inspections researching information in code books and ordinances and assisting at the permit counter 3 answers questions by meeting with contractors homeowners and engineers and discussing plan reviews on site construction inspections questions about codes and ordinances and complaints 4 reviews construction plans by reading blue prints researching information and ensuring code compliance before permit is issued work requires knowledge of a specific vocational administrative or technical nature which may be obtained with a two year associates degree diploma or equivalent from a college technical business vocational or correspondence school appropriate certification may be awarded upon satisfactory completion of advanced study or trainingwould prefare some one with code enforcement license or certno experience is required for this position but applicant must have clean backgrounddriver record compensation salary 4000050000 annually tmrs retirement plan vacation sick and holiday leave benefits medical dental and vision benefits fulltime entry level high school or equivalent public safety public relations,1,0,0.68
